Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
382,Elfrid Payton\paytoel01,PG,23,TOT,51,51,29.4,5.6,10.8,.518,0.6,1.6,.363,5.0,9.2,.545,.545,1.8,2.8,.650,1.1,3.3,4.4,6.4,1.4,0.3,2.8,2.3,13.6
383,Gary Payton\paytoga02,PG,25,TOT,16,6,9.0,1.1,2.9,.391,0.1,0.9,.133,1.0,1.9,.516,.413,0.1,0.2,.667,0.5,0.9,1.4,0.8,0.2,0.2,0.2,1.4,2.5
384,London Perrantes\perralo01,PG,23,CLE,2,0,2.0,0.0,0.5,.000,0.0,0.0,"",0.0,0.5,.000,.000,0.0,0.0,"",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
385,Alec Peters\peteral01,PF,22,PHO,9,0,9.0,0.6,2.7,.208,0.3,2.3,.143,0.2,0.3,.667,.271,0.3,0.3,1.000,0.4,1.6,2.0,0.8,0.0,0.2,0.1,0.2,1.8
386,Marshall Plumlee\plumlma02,C,25,MIL,7,0,6.4,0.1,0.4,.333,0.0,0.0,"",0.1,0.4,.333,.333,1.7,2.3,.750,0.6,1.7,2.3,0.3,0.0,0.1,0.4,1.1,2.0
387,Mason Plumlee\plumlma01,C,27,DEN,53,26,20.9,3.2,5.5,.581,0.0,0.0,.000,3.2,5.5,.583,.581,1.1,2.7,.426,1.9,4.0,5.9,2.0,0.8,1.1,1.6,2.4,7.5
388,Miles Plumlee\plumlmi01,C,29,ATL,41,34,16.6,1.9,3.2,.608,0.0,0.0,"",1.9,3.2,.608,.608,0.4,1.0,.439,1.3,2.5,3.7,0.9,0.4,0.6,1.1,1.5,4.3
389,Jakob Poeltl\poeltja01,C,22,TOR,60,0,18.4,3.1,4.7,.650,0.0,0.0,.500,3.1,4.7,.651,.652,0.8,1.4,.598,2.0,2.7,4.7,0.7,0.4,1.3,1.0,2.7,7.0
390,Quincy Pondexter\pondequ01,SF,29,CHI,23,1,8.5,0.6,2.1,.286,0.1,1.0,.136,0.5,1.2,.407,.316,0.6,0.7,.824,0.3,0.8,1.2,0.4,0.3,0.1,0.5,1.0,2.0
391,Otto Porter\porteot01,SF,24,WAS,58,58,31.9,5.8,11.8,.496,1.7,4.2,.419,4.1,7.6,.538,.570,1.5,1.7,.850,1.4,5.1,6.5,2.1,1.6,0.5,0.9,2.1,14.9
