Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
28,Lonzo Ball\balllo01,PG,20,LAL,38,1264,12.6,.448,.496,.127,4.2,18.5,11.4,28.8,2.2,2.1,19.0,17.8,"",-0.4,1.8,1.3,.051,"",-1.1,2.5,1.4,1.1
29,J.J. Barea\bareajo01,PG,33,DAL,57,1341,17.7,.540,.460,.169,0.8,13.8,7.1,44.4,1.1,0.2,15.4,24.5,"",2.0,0.9,2.9,.102,"",2.3,-2.2,0.1,0.7
30,Harrison Barnes\barneha02,PF,25,DAL,60,2062,15.8,.541,.267,.256,3.4,18.1,10.5,9.3,1.0,0.6,8.3,24.5,"",1.5,1.6,3.1,.073,"",-0.8,-1.1,-2.0,0.0
31,Will Barton\bartowi01,SG,27,DEN,60,1955,16.0,.556,.411,.213,2.8,14.2,8.5,19.0,1.7,1.6,11.9,20.3,"",3.0,1.5,4.5,.111,"",1.4,-0.3,1.1,1.5
32,Nicolas Batum\batumni01,SG,29,CHO,48,1508,13.9,.514,.439,.182,2.8,12.8,7.7,24.9,1.8,0.9,14.7,18.6,"",1.0,1.5,2.5,.080,"",0.7,0.5,1.1,1.2
33,Jerryd Bayless\bayleje01,SG,29,PHI,39,925,7.7,.546,.557,.168,1.8,7.4,4.7,8.3,1.2,0.5,14.1,15.1,"",0.2,0.8,1.0,.051,"",-1.7,-1.2,-2.9,-0.2
34,Aron Baynes\baynear01,C,31,BOS,62,1109,11.9,.507,.028,.212,8.8,22.8,16.0,8.1,0.7,3.1,14.0,16.4,"",0.3,2.0,2.3,.101,"",-4.3,2.2,-2.1,0.0
35,Kent Bazemore\bazemke01,SG,28,ATL,61,1696,14.5,.541,.405,.308,1.6,14.6,8.1,20.3,2.8,2.2,17.0,22.5,"",0.2,1.9,2.1,.060,"",-0.6,1.2,0.6,1.1
36,Bradley Beal\bealbr01,SG,24,WAS,62,2258,19.2,.566,.352,.259,2.4,11.5,7.0,20.5,1.7,1.1,11.1,28.1,"",3.7,2.0,5.8,.122,"",3.0,-0.9,2.0,2.3
37,Malik Beasley\beaslma01,SG,21,DEN,52,526,8.1,.484,.438,.163,2.8,11.5,7.1,7.4,1.3,1.0,11.4,16.0,"",-0.1,0.3,0.2,.016,"",-3.4,-2.1,-5.4,-0.5
38,Michael Beasley\beaslmi01,PF,29,NYK,55,1156,17.9,.548,.094,.227,7.2,21.5,14.4,11.7,1.1,2.4,14.1,27.9,"",0.5,1.2,1.7,.070,"",-1.4,-0.5,-2.0,0.0
39,Marco Belinelli\belinma01,SG,31,TOT,57,1344,13.8,.558,.510,.224,1.2,7.8,4.5,12.6,1.8,0.3,9.6,21.0,"",1.4,0.7,2.1,.076,"",0.5,-2.5,-2.0,0.0
40,Jordan Bell\belljo01,C,23,GSW,40,566,19.4,.677,.023,.241,10.2,18.9,14.9,17.1,2.2,5.7,20.5,14.3,"",1.3,1.0,2.3,.198,"",1.2,4.0,5.1,1.0
41,DeAndre' Bembry\bembrde01,SF,23,ATL,21,364,5.7,.460,.238,.248,2.5,15.1,8.7,12.5,1.8,2.4,25.3,18.1,"",-0.8,0.3,-0.5,-0.067,"",-6.7,0.9,-5.8,-0.4
42,Dragan Bender\bendedr01,PF,20,PHO,63,1488,7.0,.526,.656,.096,1.9,16.0,8.8,8.3,0.5,2.1,17.6,12.8,"",-0.5,0.5,0.1,.002,"",-2.7,-0.2,-2.9,-0.3
43,Davis Bertans\bertada01,PF,25,SAS,58,880,13.7,.585,.686,.136,2.0,13.8,7.9,9.7,1.1,2.2,8.2,16.9,"",1.3,1.2,2.4,.134,"",1.1,-0.2,0.8,0.6
44,Patrick Beverley\beverpa01,SG,29,LAC,11,334,12.4,.530,.504,.143,5.3,9.4,7.4,14.0,2.8,1.3,16.5,19.6,"",0.1,0.3,0.4,.060,"",0.3,0.6,0.9,0.2
45,Khem Birch\birchkh01,C,25,ORL,24,273,15.3,.555,.000,.491,14.2,19.6,16.9,8.7,1.6,2.9,14.8,13.1,"",0.4,0.3,0.7,.123,"",-1.3,1.4,0.1,0.1
46,Jabari Bird\birdja01,SG,23,BOS,4,22,6.0,.403,.500,1.250,0.0,9.7,5.0,6.1,2.3,0.0,0.0,12.6,"",0.0,0.0,0.0,.058,"",-4.5,-0.1,-4.6,0.0
47,Bismack Biyombo\biyombi01,C,25,ORL,61,1172,13.8,.567,.004,.500,10.2,23.9,17.0,5.3,0.7,5.2,17.0,14.1,"",1.0,1.2,2.2,.090,"",-3.4,1.8,-1.6,0.1
48,Nemanja Bjelica\bjeline01,PF,29,MIN,49,807,13.9,.610,.509,.129,4.4,19.3,11.8,9.0,1.9,0.8,11.6,14.7,"",1.3,0.7,2.0,.118,"",1.2,-0.5,0.7,0.6
49,Tarik Black\blackta01,C,26,HOU,39,397,13.9,.572,.078,.447,13.8,18.8,16.3,3.4,2.1,4.8,19.6,17.0,"",0.3,0.7,1.0,.117,"",-3.3,1.8,-1.6,0.0
50,Antonio Blakeney\blakean01,SG,21,CHI,12,170,8.7,.466,.366,.256,1.8,11.1,6.3,6.6,0.6,0.0,8.1,25.5,"",-0.2,0.1,-0.2,-0.046,"",-4.7,-4.7,-9.4,-0.3
51,Eric Bledsoe\bledser01,PG,28,TOT,53,1650,18.6,.565,.367,.323,2.5,11.5,7.0,23.7,3.3,1.5,16.1,26.7,"",1.4,1.9,3.3,.095,"",1.5,-0.1,1.4,1.4
52,Vander Blue\blueva01,SG,25,LAL,5,45,-1.8,.255,.400,.400,0.0,2.4,1.2,8.1,1.1,0.0,33.8,8.3,"",-0.1,0.0,-0.1,-0.102,"",-8.7,-1.3,-10.0,-0.1
53,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,58,1593,13.8,.571,.424,.157,1.5,10.2,5.7,18.3,1.8,0.9,14.6,19.3,"",1.4,0.6,2.0,.060,"",0.6,-1.6,-1.0,0.4
54,Bojan Bogdanovic\bogdabo02,SF,28,IND,60,1845,13.5,.601,.463,.226,1.4,10.7,6.1,6.7,1.2,0.2,10.2,18.7,"",2.5,1.1,3.6,.095,"",0.9,-2.1,-1.1,0.4
55,Andrew Bogut\bogutan01,C,33,LAL,24,216,10.8,.696,.000,.080,12.8,25.5,19.1,9.0,0.9,4.9,42.3,8.7,"",0.1,0.3,0.4,.092,"",-3.7,3.6,-0.1,0.1
56,Joel Bolomboy\bolomjo01,PF,24,MIL,6,38,11.8,.521,.167,1.000,18.7,12.4,15.5,0.0,2.6,0.0,18.8,12.8,"",0.0,0.0,0.1,.084,"",-3.2,-4.4,-7.5,-0.1
57,Devin Booker\bookede01,SG,21,PHO,48,1656,18.6,.562,.369,.328,1.5,13.1,7.1,24.8,1.3,0.6,13.7,31.6,"",2.1,0.6,2.6,.076,"",3.3,-2.3,0.9,1.2
58,Trevor Booker\booketr01,PF,30,TOT,51,889,15.1,.571,.073,.317,10.4,18.6,14.6,11.6,1.3,1.5,14.5,16.7,"",1.2,1.0,2.3,.122,"",-1.0,0.9,-0.2,0.4
59,Avery Bradley\bradlav01,SG,27,TOT,46,1433,9.7,.496,.325,.131,1.7,7.4,4.5,10.4,1.8,0.5,13.3,23.4,"",-1.4,1.2,-0.2,-0.007,"",-2.8,-1.4,-4.1,-0.8
60,Tony Bradley\bradlto01,C,20,UTA,8,28,10.0,.337,.091,.182,16.3,28.7,22.5,5.3,0.0,0.0,0.0,19.2,"",0.0,0.0,0.0,.019,"",-6.6,-3.4,-9.9,-0.1
61,Corey Brewer\breweco01,SF,31,LAL,54,694,8.9,.509,.250,.297,3.5,10.7,7.1,8.0,2.8,0.9,16.3,14.1,"",-0.2,0.9,0.7,.048,"",-3.6,0.9,-2.7,-0.1
62,Malcolm Brogdon\brogdma01,PG,25,MIL,46,1404,14.5,.579,.319,.174,1.9,10.8,6.4,16.7,1.5,0.8,11.0,19.2,"",2.0,0.9,2.9,.098,"",0.7,-1.6,-0.9,0.4
63,Aaron Brooks\brookaa01,PG,33,MIN,29,160,9.8,.513,.412,.118,3.6,5.9,4.7,15.7,1.9,0.0,14.4,17.3,"",0.1,0.1,0.1,.036,"",-1.1,-3.1,-4.2,-0.1
64,Dillon Brooks\brookdi01,SF,22,MEM,60,1694,8.1,.527,.345,.178,2.0,10.7,6.3,7.9,1.5,0.8,13.3,15.7,"",-0.2,1.1,0.9,.026,"",-2.5,-0.6,-3.0,-0.4
65,Bobby Brown\brownbo02,PG,33,HOU,20,115,5.5,.425,.690,.034,0.0,6.9,3.5,14.8,1.7,0.0,13.3,25.9,"",-0.3,0.1,-0.2,-0.080,"",-5.0,-4.3,-9.3,-0.2
66,Jaylen Brown\brownja02,SF,21,BOS,58,1807,13.1,.549,.397,.284,3.5,14.8,9.3,8.4,1.5,1.0,11.2,20.8,"",0.9,2.8,3.7,.099,"",-0.8,0.6,-0.2,0.8
67,Lorenzo Brown\brownlo01,PG,27,TOR,12,95,5.7,.333,.333,.000,0.0,11.5,5.9,16.1,1.5,0.0,4.5,10.1,"",0.0,0.1,0.1,.027,"",-4.4,-0.2,-4.6,-0.1
68,Markel Brown\brownma02,SG,26,HOU,4,31,-1.3,.357,.714,.000,3.7,14.6,9.2,8.7,0.0,0.0,22.2,12.8,"",-0.1,0.0,0.0,-0.065,"",-6.6,-1.8,-8.4,-0.1
69,Sterling Brown\brownst02,SG,22,MIL,36,550,9.8,.506,.431,.111,4.1,18.2,11.2,3.6,2.6,1.7,11.2,14.1,"",-0.1,0.7,0.6,.051,"",-3.2,-0.1,-3.4,-0.2
70,Nicolas Brussino\brussni01,SF,24,ATL,4,10,-4.6,.000,1.000,.000,0.0,34.3,17.0,0.0,0.0,0.0,0.0,8.8,"",0.0,0.0,0.0,-0.177,"",-13.7,-4.9,-18.7,0.0
71,Thomas Bryant\bryanth01,C,20,LAL,8,29,11.9,.473,.556,.667,3.7,18.3,11.0,9.3,0.0,0.0,0.0,16.9,"",0.0,0.0,0.1,.091,"",-2.0,-3.5,-5.5,0.0
72,Reggie Bullock\bullore01,SF,26,DET,46,1213,13.2,.623,.531,.096,1.4,8.3,4.8,7.7,1.4,0.7,7.5,14.6,"",1.9,1.0,2.9,.115,"",1.1,-0.6,0.6,0.8
73,Trey Burke\burketr01,PG,25,NYK,16,250,25.3,.598,.246,.154,1.8,7.6,4.7,40.6,1.4,0.7,7.3,26.2,"",1.0,0.1,1.1,.218,"",6.4,-3.7,2.7,0.3
74,Alec Burks\burksal01,SG,26,UTA,55,971,13.8,.526,.332,.303,2.0,18.8,10.4,10.1,1.8,0.7,10.5,23.0,"",0.3,1.3,1.6,.078,"",-2.3,-0.6,-2.9,-0.2
75,Jimmy Butler\butleji01,SG,28,MIN,56,2077,23.6,.589,.220,.446,4.2,13.0,8.5,20.6,2.6,1.0,8.9,24.7,"",6.9,1.7,8.7,.200,"",4.8,0.0,4.8,3.6
76,Dwight Buycks\buyckdw01,PG,28,DET,20,296,15.7,.524,.217,.225,3.7,8.5,6.0,25.6,2.2,0.6,14.6,26.5,"",0.2,0.3,0.5,.075,"",-0.7,-1.5,-2.1,0.0
77,Bruno Caboclo\cabocbr01,SF,22,TOT,3,26,1.5,.222,.556,.000,8.4,8.8,8.8,10.0,3.8,0.0,10.0,17.2,"",-0.1,0.0,-0.1,-0.131,"",-6.0,-0.5,-6.4,0.0
78,Jose Calderon\caldejo01,PG,36,CLE,41,614,10.4,.640,.545,.164,1.5,8.4,5.0,17.4,1.6,0.0,18.1,10.4,"",0.9,0.2,1.1,.089,"",-0.3,-1.9,-2.2,0.0
79,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,52,1702,13.5,.551,.508,.240,2.7,14.1,8.4,9.7,2.3,0.5,9.3,17.2,"",1.8,2.0,3.7,.105,"",0.6,0.5,1.1,1.3
80,Isaiah Canaan\canaais01,PG-SG,26,TOT,20,422,13.6,.539,.482,.372,1.5,10.1,5.7,26.8,1.8,0.2,15.4,18.9,"",0.5,0.2,0.7,.074,"",0.3,-2.5,-2.3,0.0
81,Clint Capela\capelca01,C,23,HOU,55,1506,25.5,.660,.002,.393,13.8,32.0,22.9,6.2,1.4,5.6,12.0,20.2,"",5.0,2.9,7.8,.250,"",0.5,2.7,3.2,2.0
82,DeMarre Carroll\carrode01,SF,31,BRK,57,1701,14.2,.539,.481,.304,5.7,17.6,11.6,10.8,1.3,1.1,10.5,19.9,"",1.7,1.5,3.2,.090,"",0.3,0.1,0.4,1.0
83,Vince Carter\cartevi01,SF,41,SAC,41,706,12.0,.533,.572,.124,1.6,14.1,7.5,10.8,2.6,2.8,10.1,14.5,"",0.4,0.6,1.0,.066,"",-0.9,0.7,-0.2,0.3
84,Michael Carter-Williams\cartemi01,PG,26,CHO,50,802,11.4,.458,.271,.381,4.9,13.1,8.9,20.2,2.6,2.4,16.7,16.5,"",0.0,1.1,1.1,.064,"",-2.3,2.2,-0.1,0.4
85,Alex Caruso\carusal01,PG,23,LAL,24,309,7.7,.475,.333,.200,2.7,7.9,5.3,19.4,1.8,1.6,24.3,11.7,"",-0.1,0.3,0.2,.031,"",-4.1,0.0,-4.1,-0.2
86,Omri Casspi\casspom01,SF,29,GSW,47,680,15.4,.627,.110,.319,4.9,24.1,15.3,9.3,1.3,2.1,13.5,16.2,"",1.1,0.9,2.0,.144,"",-1.4,0.3,-1.0,0.2
87,Willie Cauley-Stein\caulewi01,C,24,SAC,56,1542,17.3,.522,.019,.320,7.3,22.0,14.3,12.5,2.0,3.2,11.1,22.0,"",1.0,1.4,2.4,.076,"",-1.6,1.3,-0.3,0.7
88,Tyler Cavanaugh\cavanty01,PF,23,ATL,30,413,14.3,.603,.612,.147,9.3,18.0,13.6,9.2,1.1,0.6,8.2,14.3,"",0.9,0.3,1.2,.134,"",1.6,-1.2,0.4,0.3
89,Mario Chalmers\chalmma01,PG,31,MEM,54,1200,9.8,.488,.412,.307,1.1,12.0,6.5,21.7,2.8,0.7,18.3,19.6,"",-0.7,1.2,0.5,.020,"",-2.6,-0.2,-2.8,-0.3
90,Tyson Chandler\chandty01,C,35,PHO,42,1066,14.1,.639,.000,.514,12.7,28.0,20.1,6.5,0.6,1.9,20.6,10.6,"",1.6,0.8,2.4,.108,"",-1.4,0.9,-0.5,0.4
91,Wilson Chandler\chandwi01,SF,30,DEN,55,1696,10.6,.528,.378,.187,5.2,14.2,9.7,9.6,0.8,1.5,12.5,14.7,"",1.3,0.9,2.2,.062,"",-1.0,-0.4,-1.3,0.3
92,Marquese Chriss\chrisma01,PF,20,PHO,55,1126,9.4,.483,.435,.314,4.6,22.0,13.1,8.7,1.6,3.7,17.0,17.1,"",-0.9,1.1,0.2,.007,"",-3.7,1.4,-2.3,-0.1
93,Ian Clark\clarkia01,SG,26,NOP,55,983,8.2,.515,.454,.125,1.0,8.9,5.1,9.8,1.0,0.7,11.0,16.4,"",-0.1,0.5,0.4,.017,"",-2.5,-2.1,-4.6,-0.6
94,Jordan Clarkson\clarkjo01,SG,25,TOT,59,1384,17.2,.539,.324,.194,3.5,10.0,6.8,22.1,1.4,0.2,11.6,27.4,"",1.4,1.0,2.4,.084,"",1.1,-2.4,-1.2,0.3
95,Gian Clavell\clavegi01,SG,24,DAL,7,64,7.5,.530,.833,.111,1.7,10.9,6.1,6.8,1.6,0.0,9.6,14.9,"",0.0,0.0,0.1,.042,"",-1.6,-1.9,-3.5,0.0
96,Antonius Cleveland\clevean01,SG,23,DAL,13,81,5.1,.317,.071,.286,2.7,11.4,6.9,3.3,3.7,4.5,11.3,10.0,"",-0.1,0.1,0.0,-0.005,"",-7.5,4.5,-3.0,0.0
97,John Collins\collijo01,PF,20,ATL,56,1265,19.5,.621,.048,.346,13.3,22.1,17.7,7.1,1.3,4.5,13.5,18.4,"",2.8,1.5,4.2,.161,"",0.1,1.5,1.6,1.2
98,Zach Collins\colliza01,C,20,POR,45,681,7.6,.466,.362,.151,4.9,19.2,12.2,7.3,0.9,2.5,15.4,15.1,"",-0.5,0.9,0.4,.030,"",-4.2,1.1,-3.2,-0.2
99,Kyle Collinsworth\colliky01,SF,26,DAL,17,202,9.4,.495,.162,.459,4.9,17.8,11.1,12.8,2.2,0.9,18.4,12.3,"",0.0,0.2,0.2,.051,"",-4.1,1.8,-2.3,0.0
100,Darren Collison\collida01,PG,30,IND,52,1574,18.6,.608,.327,.234,2.1,7.8,5.0,24.8,2.4,0.7,10.8,17.3,"",4.4,1.4,5.8,.176,"",3.1,-1.0,2.1,1.6
101,Nick Collison\collini01,PF,37,OKC,10,58,12.9,.696,.000,.545,9.3,22.0,15.4,10.1,0.0,0.0,26.8,13.9,"",0.1,0.0,0.1,.093,"",-3.0,-1.9,-4.9,0.0
102,Mike Conley\conlemi01,PG,30,MEM,12,373,15.6,.520,.458,.393,0.0,8.5,4.2,22.7,1.6,0.7,8.4,26.1,"",0.4,0.2,0.7,.084,"",1.2,-3.3,-2.1,0.0
103,Pat Connaughton\connapa01,SG,25,POR,61,1151,10.2,.561,.527,.132,2.0,9.2,5.7,9.3,0.6,1.1,8.9,13.8,"",1.3,0.8,2.1,.090,"",-0.5,-0.8,-1.3,0.2
104,Quinn Cook\cookqu01,PG,24,GSW,13,123,10.1,.548,.486,.027,3.0,9.2,6.4,17.9,0.0,0.0,9.7,14.7,"",0.2,0.0,0.2,.088,"",-0.4,-3.9,-4.3,-0.1
105,Charles Cooke\cookech01,SG,23,NOP,9,24,-1.9,.276,.600,.200,0.0,4.5,2.3,5.3,2.0,0.0,8.4,21.5,"",-0.1,0.0,-0.1,-0.214,"",-9.5,-4.3,-13.8,-0.1
106,Jack Cooley\cooleja01,PF,26,SAC,1,2,48.4,.532,.000,2.000,0.0,59.8,28.6,62.0,0.0,0.0,0.0,42.2,"",0.0,0.0,0.0,.524,"",12.2,5.5,17.6,0.0
107,Matt Costello\costema01,C,24,SAS,3,18,3.4,.333,.000,.000,6.2,36.9,21.6,0.0,0.0,9.3,25.0,10.0,"",0.0,0.0,0.0,.015,"",-12.6,1.5,-11.1,0.0
