Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
119,Deyonta Davis\davisde01,C,21,MEM,42,556,18.9,.662,.000,.233,9.3,22.5,15.9,6.4,0.9,4.8,11.2,16.1,"",1.3,0.7,2.0,.170,"",-0.9,0.9,0.1,0.3
120,Ed Davis\davised01,C,28,POR,61,1147,16.4,.608,.000,.401,14.4,27.9,21.3,3.8,1.3,3.0,15.5,12.7,"",2.2,1.9,4.1,.172,"",-1.4,1.7,0.3,0.7
121,Dewayne Dedmon\dedmode01,C,28,ATL,43,1008,16.9,.632,.277,.178,8.0,28.0,17.9,9.6,1.1,2.7,14.8,17.3,"",1.6,1.2,2.8,.132,"",-0.2,1.0,0.9,0.7
122,Sam Dekker\dekkesa01,PF,23,LAC,55,724,10.5,.506,.275,.209,5.4,15.4,10.4,6.4,1.4,0.9,10.5,15.4,"",0.2,0.6,0.8,.054,"",-2.6,-0.6,-3.3,-0.2
123,Malcolm Delaney\delanma01,PG,28,ATL,52,984,10.2,.512,.431,.318,1.0,10.3,5.6,23.1,1.6,0.4,17.4,16.9,"",0.3,0.5,0.8,.039,"",-2.2,-1.7,-4.0,-0.5
124,Matthew Dellavedova\dellama01,PG,27,MIL,37,702,8.8,.506,.517,.168,2.2,8.4,5.3,27.9,1.0,0.0,23.1,13.5,"",0.3,0.3,0.6,.039,"",-2.2,-3.4,-5.6,-0.6
125,Luol Deng\denglu01,SF,32,LAL,1,13,5.5,.500,.000,.000,0.0,0.0,0.0,10.0,3.7,0.0,33.3,9.7,"",0.0,0.0,0.0,-0.018,"",-7.2,-1.3,-8.5,0.0
126,DeMar DeRozan\derozde01,SG,28,TOR,60,2041,22.0,.561,.194,.401,2.5,10.2,6.5,24.8,1.7,0.7,9.5,30.0,"",5.5,2.3,7.8,.184,"",3.1,-0.7,2.4,2.3
127,Cheick Diallo\diallch01,PF,21,NOP,33,289,15.5,.579,.000,.323,7.4,28.1,18.1,4.5,0.8,2.8,9.4,17.6,"",0.4,0.4,0.8,.127,"",-3.9,-1.0,-5.0,-0.2
128,Gorgui Dieng\dienggo01,C,28,MIN,61,1073,15.0,.549,.152,.284,8.7,21.9,15.3,7.7,1.9,2.5,12.3,16.4,"",1.3,1.1,2.4,.109,"",-0.9,0.7,-0.2,0.5
129,Spencer Dinwiddie\dinwisp01,PG,24,BRK,61,1774,16.9,.530,.513,.307,1.8,10.3,6.0,37.1,1.4,0.8,11.1,21.1,"",3.7,1.2,4.9,.133,"",2.8,-1.6,1.1,1.4
130,Tyler Dorsey\dorsety01,SG,21,ATL,36,484,9.7,.474,.561,.197,2.3,14.2,8.2,12.7,0.9,0.5,7.4,18.4,"",0.0,0.2,0.2,.024,"",-2.1,-2.4,-4.5,-0.3
131,Damyean Dotson\dotsoda01,SG,23,NYK,29,247,9.6,.494,.429,.117,2.3,16.2,9.3,9.8,1.4,0.4,10.0,15.9,"",0.0,0.2,0.2,.041,"",-2.3,-1.3,-3.6,-0.1
132,Milton Doyle\doylemi01,SG,24,BRK,6,63,4.5,.342,.520,.120,3.3,11.9,7.5,9.4,1.5,1.2,7.1,19.4,"",-0.2,0.0,-0.1,-0.083,"",-6.1,-1.5,-7.6,-0.1
133,PJ Dozier\doziepj01,PG,21,OKC,2,3,-5.0,.500,.000,.000,0.0,38.6,18.6,0.0,0.0,0.0,33.3,43.1,"",0.0,0.0,0.0,-0.403,"",-23.6,-10.5,-34.0,0.0
134,Goran Dragic\dragigo01,PG,31,MIA,56,1783,16.5,.532,.283,.257,2.7,12.0,7.3,26.4,1.3,0.6,12.0,26.4,"",1.9,1.8,3.7,.100,"",1.0,-0.9,0.1,0.9
135,Larry Drew\drewla02,PG,27,PHI,3,15,-9.4,.143,.429,.000,7.5,0.0,3.6,17.7,0.0,0.0,12.5,22.8,"",-0.1,0.0,-0.1,-0.307,"",-12.0,-5.4,-17.4,-0.1
136,Andre Drummond\drumman01,C,24,DET,59,1962,24.0,.563,.011,.434,16.8,36.6,26.4,16.5,2.4,4.2,16.4,21.3,"",3.9,4.3,8.1,.199,"",1.1,5.7,6.8,4.4
137,Jared Dudley\dudleja01,PF,32,PHO,35,471,8.2,.524,.675,.275,1.6,11.4,6.4,17.0,1.6,0.9,16.7,9.7,"",0.3,0.2,0.5,.051,"",-1.9,-0.7,-2.6,-0.1
138,Kris Dunn\dunnkr01,PG,23,CHI,45,1323,14.1,.476,.191,.157,1.7,15.0,8.1,33.6,3.3,1.6,17.5,25.4,"",-1.3,1.7,0.4,.015,"",-1.9,1.6,-0.3,0.6
139,Kevin Durant\duranke01,PF,29,GSW,54,1859,25.8,.649,.341,.326,1.6,18.8,10.9,24.8,1.1,4.2,13.2,29.3,"",6.2,2.5,8.7,.224,"",4.9,0.9,5.8,3.7
140,Jarell Eddie\eddieja01,SF,26,BOS,2,6,4.0,.000,1.000,.000,0.0,17.9,9.1,0.0,8.3,0.0,0.0,7.5,"",0.0,0.0,0.0,-0.025,"",-8.6,5.2,-3.4,0.0
141,Henry Ellenson\ellenhe01,PF,21,DET,25,161,7.1,.412,.387,.080,4.0,27.1,15.2,8.6,0.9,0.0,10.4,23.7,"",-0.4,0.2,-0.2,-0.052,"",-6.6,-2.5,-9.1,-0.3
142,Wayne Ellington\ellinwa01,SG,30,MIA,60,1582,12.5,.584,.837,.115,1.3,11.4,6.3,6.3,1.2,0.3,6.8,17.3,"",1.9,1.5,3.4,.103,"",1.7,-1.7,0.0,0.8
143,Joel Embiid\embiijo01,C,23,PHI,48,1504,23.7,.584,.200,.446,8.0,30.0,19.4,18.4,1.1,4.8,15.9,33.3,"",2.2,2.9,5.1,.162,"",0.8,2.5,3.3,2.0
144,James Ennis\ennisja01,SF,27,TOT,52,1185,12.2,.603,.376,.342,5.8,11.5,8.6,6.9,1.5,1.1,12.3,13.3,"",1.7,0.9,2.5,.103,"",-0.3,-0.2,-0.6,0.4
145,Tyler Ennis\ennisty01,PG,23,LAL,36,381,8.6,.418,.264,.144,2.5,11.7,7.1,21.3,1.7,1.1,11.3,16.5,"",-0.1,0.4,0.2,.029,"",-4.0,-0.6,-4.6,-0.2
146,Jawun Evans\evansja01,PG,21,LAC,38,701,7.2,.412,.205,.197,1.3,10.6,6.0,18.3,2.4,0.7,13.9,18.6,"",-0.9,0.7,-0.2,-0.017,"",-4.6,-0.1,-4.7,-0.5
147,Tyreke Evans\evansty01,PG,28,MEM,49,1518,21.3,.561,.352,.252,3.2,16.0,9.6,31.3,1.7,0.9,11.0,28.4,"",3.1,1.3,4.4,.138,"",4.6,-0.6,3.9,2.3
148,Kenneth Faried\farieke01,PF,28,DEN,32,461,17.5,.552,.007,.345,16.6,21.0,18.8,5.8,1.3,2.4,11.9,18.2,"",0.9,0.4,1.3,.134,"",-1.1,-0.9,-2.1,0.0
149,Derrick Favors\favorde01,C,26,UTA,58,1634,18.5,.583,.065,.312,10.2,19.7,14.9,7.7,1.4,2.9,10.4,18.8,"",3.1,2.4,5.5,.160,"",0.0,1.8,1.7,1.5
150,Kay Felder\feldeka01,PG,22,TOT,15,137,2.9,.375,.279,.176,1.5,10.5,5.9,22.4,1.1,0.6,17.9,28.5,"",-0.6,0.1,-0.5,-0.185,"",-8.7,-3.4,-12.1,-0.3
151,Cristiano Felicio\feliccr01,C,25,CHI,35,494,11.4,.619,.000,.375,7.8,13.9,10.7,8.7,0.5,1.6,17.7,13.0,"",0.6,0.3,0.9,.083,"",-2.6,-0.2,-2.8,-0.1
152,Raymond Felton\feltora01,PG,33,OKC,63,1085,13.8,.503,.395,.095,2.4,11.8,6.9,23.5,1.7,0.8,11.8,20.2,"",1.0,1.0,2.1,.092,"",-0.7,-1.7,-2.5,-0.1
153,Terrance Ferguson\fergute01,SG,19,OKC,47,578,6.5,.512,.682,.045,3.2,3.8,3.5,3.1,1.6,1.1,6.3,10.7,"",0.3,0.4,0.8,.064,"",-1.8,-1.3,-3.1,-0.2
154,Yogi Ferrell\ferreyo01,SG,24,DAL,62,1801,10.9,.553,.496,.159,1.5,11.7,6.4,11.5,1.3,0.3,10.2,16.1,"",1.2,1.2,2.4,.063,"",-0.5,-0.4,-1.0,0.5
155,Dorian Finney-Smith\finnedo01,PF,24,DAL,8,94,5.3,.568,.636,.091,5.8,6.2,6.0,7.8,0.0,1.0,23.4,14.5,"",0.0,0.0,0.0,-0.006,"",-3.0,-2.1,-5.1,-0.1
156,Bryn Forbes\forbebr01,SG,24,SAS,62,1253,8.6,.514,.478,.132,0.9,7.3,4.1,7.3,1.0,0.1,6.9,17.2,"",0.3,1.1,1.5,.056,"",-1.4,-1.9,-3.3,-0.4
157,Evan Fournier\fournev01,SF,25,ORL,53,1719,15.8,.581,.413,.216,1.5,9.5,5.5,14.3,1.3,0.7,10.2,23.3,"",2.5,0.6,3.0,.084,"",1.8,-2.3,-0.4,0.7
158,De'Aaron Fox\foxde01,PG,20,SAC,53,1450,11.3,.481,.189,.256,1.8,9.4,5.4,24.8,1.8,0.8,16.8,23.2,"",-1.0,0.5,-0.6,-0.019,"",-2.7,-2.0,-4.7,-1.0
159,Tim Frazier\fraziti01,PG,27,WAS,48,720,11.9,.493,.315,.188,2.7,12.4,7.6,31.4,2.7,0.9,24.0,13.0,"",0.5,0.9,1.3,.089,"",-2.0,0.3,-1.7,0.0
160,Channing Frye\fryech01,C,34,TOT,45,556,13.7,.609,.535,.088,2.0,20.0,11.2,7.5,1.4,1.8,9.2,15.5,"",0.7,0.5,1.2,.100,"",-0.6,-0.9,-1.5,0.1
161,Markelle Fultz\fultzma01,SG,19,PHI,4,76,3.7,.372,.000,.444,4.4,8.3,6.5,13.1,1.3,1.1,15.7,21.6,"",-0.2,0.1,-0.1,-0.086,"",-8.6,-1.3,-10.0,-0.2
162,Danilo Gallinari\gallida01,SF,29,LAC,19,615,14.3,.551,.440,.320,1.4,14.9,8.3,9.5,0.9,0.8,7.7,21.0,"",0.9,0.4,1.3,.099,"",0.3,-1.6,-1.3,0.1
163,Langston Galloway\gallola01,SG,26,DET,49,727,12.8,.520,.663,.121,1.8,10.4,6.0,10.8,1.8,0.6,5.1,19.0,"",0.7,0.7,1.4,.090,"",0.5,-1.6,-1.1,0.2
164,Marc Gasol\gasolma01,C,33,MEM,58,1965,17.1,.525,.292,.336,3.9,25.3,14.5,20.7,1.0,4.1,14.1,26.3,"",0.8,2.4,3.2,.078,"",-0.7,1.9,1.2,1.6
165,Pau Gasol\gasolpa01,C,37,SAS,58,1446,19.0,.550,.198,.326,7.2,30.2,18.8,20.1,0.6,3.5,13.5,20.2,"",2.3,2.6,4.9,.163,"",0.0,3.2,3.2,1.9
166,Rudy Gay\gayru01,PF,31,SAS,37,829,17.3,.551,.226,.295,6.3,18.8,12.6,11.3,1.8,2.6,12.9,23.6,"",0.7,1.4,2.1,.122,"",-0.7,1.2,0.5,0.5
167,Paul George\georgpa01,SF,27,OKC,60,2193,19.7,.582,.454,.295,2.8,14.6,8.5,14.5,2.9,1.2,12.3,25.8,"",4.3,3.1,7.4,.163,"",3.1,0.0,3.1,2.8
168,Marcus Georges-Hunt\georgma01,SG,23,MIN,36,199,4.6,.459,.333,.381,4.0,3.5,3.8,4.6,1.0,0.0,5.8,11.6,"",0.0,0.0,0.1,.012,"",-2.5,-2.9,-5.4,-0.2
169,Taj Gibson\gibsota01,PF,32,MIN,64,2145,16.1,.615,.053,.248,8.4,16.7,12.5,5.6,1.2,2.0,9.5,14.8,"",4.6,1.4,6.1,.136,"",1.3,0.3,1.6,1.9
170,Manu Ginobili\ginobma01,SG,40,SAS,47,964,12.9,.557,.420,.244,1.7,9.5,5.6,18.8,1.6,1.2,17.0,22.2,"",0.4,1.2,1.6,.078,"",-0.5,-0.8,-1.3,0.2
171,Rudy Gobert\goberru01,C,25,UTA,35,1096,19.8,.636,.000,.667,9.6,26.9,18.2,7.0,1.1,6.4,15.3,17.0,"",2.2,2.0,4.3,.187,"",-1.0,4.3,3.3,1.5
172,Aaron Gordon\gordoaa01,PF,22,ORL,43,1445,17.0,.542,.394,.272,5.4,21.8,13.6,11.0,1.3,1.8,9.9,24.1,"",1.2,1.2,2.4,.080,"",0.5,-0.5,0.0,0.7
173,Eric Gordon\gordoer01,SG,29,HOU,52,1653,14.8,.564,.621,.265,1.3,6.9,4.1,11.9,1.0,1.0,10.5,25.4,"",2.0,1.2,3.2,.094,"",1.1,-2.8,-1.8,0.1
174,Marcin Gortat\gortama01,C,33,WAS,62,1612,14.8,.548,.000,.285,9.7,24.2,17.0,10.4,1.1,2.4,13.2,15.3,"",1.9,2.0,4.0,.118,"",-1.5,2.0,0.5,1.0
175,Treveon Graham\grahatr01,SG,24,CHO,49,861,9.3,.561,.431,.261,4.1,9.2,6.6,7.7,1.6,0.1,10.7,11.8,"",0.8,0.7,1.5,.085,"",-0.7,-0.1,-0.8,0.3
176,Jerami Grant\grantje01,PF,23,OKC,62,1278,14.5,.577,.232,.481,6.1,16.2,11.0,5.3,0.9,3.9,9.8,15.8,"",2.0,1.5,3.5,.131,"",-1.6,0.3,-1.3,0.2
177,Jerian Grant\grantje02,PG,25,CHI,58,1349,14.7,.540,.366,.374,2.2,10.2,6.0,31.3,1.6,0.4,14.0,16.9,"",2.1,0.8,3.0,.105,"",0.1,-1.7,-1.6,0.1
178,Josh Gray\grayjo01,PG,24,PHO,5,86,7.3,.349,.317,.268,2.4,10.2,6.2,20.9,4.5,1.9,13.2,26.0,"",-0.3,0.1,-0.2,-0.114,"",-5.7,0.4,-5.3,-0.1
179,Danny Green\greenda02,SG,30,SAS,50,1310,12.5,.532,.568,.101,2.3,13.2,7.7,9.4,2.0,3.5,11.5,16.4,"",0.4,2.2,2.6,.095,"",-0.5,2.3,1.8,1.3
180,Draymond Green\greendr01,PF,27,GSW,54,1775,16.6,.556,.392,.302,4.7,20.5,13.3,28.7,1.9,3.5,21.4,17.3,"",2.6,2.7,5.3,.144,"",0.9,3.0,3.9,2.6
181,Gerald Green\greenge01,SG,32,HOU,24,534,13.3,.565,.724,.171,1.9,11.5,6.7,2.9,1.3,1.4,5.8,21.4,"",0.6,0.5,1.2,.104,"",0.3,-2.8,-2.5,-0.1
182,JaMychal Green\greenja01,PF,27,MEM,40,1081,14.4,.540,.277,.229,11.6,22.2,16.9,7.4,1.1,1.2,12.5,18.4,"",1.0,1.0,2.0,.090,"",-0.8,-0.6,-1.4,0.2
183,Jeff Green\greenje02,PF,31,CLE,59,1306,15.7,.594,.239,.400,4.4,12.2,8.4,8.8,1.1,1.3,9.6,19.8,"",2.6,0.6,3.1,.115,"",-0.1,-1.8,-1.8,0.1
184,Blake Griffin\griffbl01,PF,28,TOT,45,1535,19.0,.539,.326,.356,4.4,20.2,12.3,26.4,1.1,0.7,13.3,29.3,"",2.0,1.5,3.4,.108,"",2.2,-0.1,2.2,1.7
185,Daniel Hamilton\hamilda02,SG,22,OKC,4,25,20.6,.545,.455,.000,0.0,23.2,11.2,45.2,2.0,0.0,15.4,22.4,"",0.1,0.0,0.1,.173,"",1.5,-1.6,-0.1,0.0
186,Tim Hardaway\hardati02,SG,25,NYK,40,1302,14.4,.524,.480,.215,2.2,11.3,6.8,13.8,1.8,0.6,9.3,23.8,"",1.0,1.0,1.9,.070,"",1.7,-1.4,0.3,0.8
187,James Harden\hardeja01,SG,28,HOU,54,1928,30.5,.625,.515,.491,1.6,14.8,8.2,45.0,2.5,1.6,14.6,36.0,"",9.4,2.7,12.1,.302,"",10.1,0.9,11.0,6.4
188,Maurice Harkless\harklma01,SF,24,POR,50,1048,10.8,.563,.384,.173,3.8,10.3,7.1,5.5,1.9,2.7,13.3,12.4,"",0.7,1.3,2.0,.091,"",-1.3,2.0,0.7,0.7
189,Montrezl Harrell\harremo01,C,24,LAC,54,860,23.6,.636,.009,.397,9.6,17.5,13.6,8.7,1.4,4.0,9.5,22.7,"",2.6,1.0,3.6,.200,"",1.4,0.5,1.9,0.9
190,Devin Harris\harride01,PG,34,TOT,50,909,13.0,.552,.464,.382,1.2,10.6,5.7,16.7,2.0,0.8,12.5,21.1,"",0.8,0.8,1.6,.084,"",-0.5,-1.2,-1.7,0.1
191,Gary Harris\harriga01,SG,23,DEN,57,1989,16.6,.596,.436,.185,1.9,6.8,4.3,13.5,2.7,0.6,11.3,20.5,"",3.4,1.5,4.9,.118,"",2.5,-1.2,1.3,1.7
192,Joe Harris\harrijo01,SG,26,BRK,60,1515,12.8,.612,.580,.150,2.8,11.6,7.1,9.4,1.0,0.7,10.9,16.4,"",2.1,0.9,2.9,.093,"",0.9,-0.9,0.0,0.8
193,Tobias Harris\harrito02,PF,25,TOT,58,1911,17.0,.566,.379,.192,2.5,15.9,9.1,10.6,1.3,1.0,7.0,23.1,"",3.1,1.8,4.9,.124,"",1.4,-0.8,0.6,1.2
194,Andrew Harrison\harrian01,PG,23,MEM,52,1209,12.6,.539,.330,.380,2.0,10.0,6.0,20.7,1.5,1.8,14.6,19.5,"",0.9,0.9,1.8,.070,"",-1.0,-1.0,-2.0,0.0
195,Shaquille Harrison\harrish01,PG,"",PHO,4,42,23.3,.580,.333,.667,2.5,23.5,12.8,22.2,9.1,5.7,11.4,8.8,"",0.1,0.1,0.2,.257,"",0.9,10.1,11.0,0.1
196,Josh Hart\hartjo01,SG,22,LAL,55,1182,11.2,.583,.532,.225,3.0,15.5,9.2,7.5,1.6,0.8,10.1,12.3,"",1.3,1.2,2.5,.102,"",-0.7,0.3,-0.4,0.5
197,Udonis Haslem\hasleud01,C,37,MIA,9,49,2.9,.357,.571,.000,4.6,9.2,6.9,8.2,0.0,1.7,22.2,8.3,"",0.0,0.0,0.0,-0.014,"",-5.9,-0.2,-6.1,-0.1
198,Nigel Hayes\hayesni01,SF,23,LAL,2,11,9.8,.436,.667,.333,0.0,0.0,0.0,24.0,0.0,0.0,0.0,13.1,"",0.0,0.0,0.0,.070,"",-3.5,-9.2,-12.8,0.0
199,Gordon Hayward\haywago01,SF,27,BOS,1,5,7.4,.500,.500,.000,0.0,21.4,10.9,0.0,0.0,0.0,0.0,17.9,"",0.0,0.0,0.0,.058,"",-5.9,-6.0,-11.9,0.0
200,Reggie Hearn\hearnre01,SG,26,DET,1,3,44.5,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,"",0.0,0.0,0.0,.233,"",20.7,-6.7,14.0,0.0
201,Myke Henry\henrymy01,SF,25,MEM,11,203,9.1,.500,.610,.153,2.8,8.1,5.4,6.9,2.8,2.3,14.9,16.5,"",-0.1,0.2,0.1,.013,"",-2.5,0.2,-2.4,0.0
202,John Henson\hensojo01,C,27,MIL,56,1430,16.0,.595,.011,.342,9.4,22.5,15.9,8.2,1.0,4.7,13.8,15.5,"",2.1,1.7,3.8,.127,"",-1.4,1.8,0.4,0.9
203,Juan Hernangomez\hernaju01,PF,22,DEN,21,233,10.2,.509,.650,.183,7.7,16.2,11.9,5.2,1.3,1.1,9.7,13.4,"",0.2,0.2,0.3,.071,"",-1.2,-1.7,-2.9,-0.1
204,Willy Hernangomez\hernawi01,C,23,TOT,31,253,14.6,.549,.057,.368,11.1,22.4,16.8,13.4,1.6,2.8,21.7,22.3,"",-0.1,0.3,0.2,.037,"",-2.9,0.6,-2.3,0.0
205,Mario Hezonja\hezonma01,SF,22,ORL,54,1071,14.5,.565,.415,.162,3.2,16.0,9.6,8.6,2.4,1.2,11.1,19.8,"",0.7,0.9,1.7,.074,"",-0.4,-0.5,-0.9,0.3
206,Isaiah Hicks\hicksis01,PF,23,NYK,3,37,6.3,.506,.100,.200,6.1,9.0,7.6,3.9,1.3,0.0,15.5,15.2,"",0.0,0.0,0.0,.003,"",-4.0,-2.0,-6.0,0.0
207,Buddy Hield\hieldbu01,SG,24,SAC,59,1417,15.3,.550,.446,.087,2.8,15.2,8.7,11.0,1.9,1.1,10.8,24.1,"",0.7,0.7,1.5,.049,"",0.6,-2.0,-1.4,0.2
208,Nene Hilario\hilarne01,C,35,HOU,42,626,16.6,.620,.010,.449,6.9,18.6,12.8,10.0,1.7,1.2,13.0,18.9,"",1.3,0.8,2.1,.163,"",-1.3,0.3,-1.0,0.2
209,George Hill\hillge01,PG,31,TOT,49,1315,13.7,.582,.389,.316,2.4,9.2,5.7,15.1,1.7,1.1,13.7,17.4,"",1.6,0.4,2.1,.076,"",0.3,-1.4,-1.0,0.3
210,Darrun Hilliard\hillida01,SG,24,SAS,14,95,3.4,.362,.316,.368,0.0,8.2,4.1,15.3,1.1,0.0,15.3,12.3,"",-0.1,0.1,0.0,-0.014,"",-6.2,-1.3,-7.6,-0.1
211,Jrue Holiday\holidjr01,SG,27,NOP,61,2243,17.3,.573,.305,.201,2.0,11.0,6.6,22.9,1.9,1.5,13.1,22.7,"",3.2,1.9,5.1,.109,"",1.6,-0.2,1.4,1.9
212,Justin Holiday\holidju01,SG,28,CHI,57,1944,11.1,.520,.569,.225,1.6,12.9,7.0,9.8,1.5,1.3,9.4,17.7,"",0.5,1.4,1.9,.047,"",-0.7,-0.1,-0.8,0.6
213,John Holland\hollajo02,SF,29,CLE,9,39,5.8,.409,.818,.000,0.0,8.5,4.3,0.0,5.0,0.0,8.3,13.7,"",-0.1,0.0,0.0,-0.027,"",-4.3,-1.2,-5.5,0.0
214,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,48,1343,16.9,.549,.086,.427,5.3,19.2,12.2,13.6,1.5,1.8,11.8,22.6,"",1.5,1.4,2.9,.105,"",-1.4,1.0,-0.4,0.5
215,Richaun Holmes\holmeri01,C,24,PHI,31,480,16.1,.568,.156,.234,8.9,23.6,16.5,11.6,1.2,3.0,10.5,16.9,"",0.8,0.8,1.6,.158,"",-1.0,1.5,0.5,0.3
216,Rodney Hood\hoodro01,SG,25,TOT,45,1237,15.1,.553,.474,.168,1.4,10.3,5.9,10.0,1.4,0.6,9.2,26.3,"",0.8,1.1,1.9,.074,"",0.6,-2.4,-1.8,0.1
217,Al Horford\horfoal01,C,31,BOS,58,1844,17.7,.583,.321,.145,4.8,20.8,13.0,24.5,0.9,3.0,15.1,18.2,"",3.3,3.2,6.5,.169,"",1.2,3.2,4.4,3.0
218,Danuel House\houseda01,SG,24,PHO,16,193,11.0,.491,.463,.284,4.9,15.9,10.3,6.2,1.2,0.4,6.2,17.6,"",0.1,0.1,0.2,.045,"",-2.0,-2.7,-4.7,-0.1
219,Dwight Howard\howardw01,C,32,CHO,62,1899,19.5,.568,.006,.633,11.4,33.3,22.1,7.4,1.0,4.6,16.4,23.7,"",1.6,3.2,4.7,.119,"",-2.5,2.2,-0.3,0.8
220,Josh Huestis\huestjo01,PF,26,OKC,57,847,5.4,.421,.627,.111,4.7,13.7,9.0,2.5,0.8,4.1,13.0,9.4,"",-0.5,0.9,0.4,.025,"",-4.7,0.8,-3.9,-0.4
221,R.J. Hunter\hunterj01,SG,24,HOU,2,2,38.9,"","","",0.0,56.6,28.4,100.0,0.0,0.0,"",0.0,"",0.0,0.0,0.0,.585,"",-2.3,-3.4,-5.7,0.0
222,Vince Hunter\huntevi01,PF,23,MEM,4,7,36.2,.600,.000,.000,32.9,16.7,24.9,0.0,0.0,13.2,16.7,38.8,"",0.0,0.0,0.0,.107,"",-3.1,-5.8,-8.9,0.0
223,Serge Ibaka\ibakase01,PF,28,TOR,55,1523,15.1,.584,.371,.150,3.7,20.8,12.4,4.1,0.6,4.0,9.3,19.3,"",1.8,2.3,4.0,.127,"",-0.7,0.6,-0.1,0.7
224,Andre Iguodala\iguodan01,SF,34,GSW,53,1350,10.9,.529,.351,.311,4.2,12.0,8.4,15.5,1.5,1.9,15.4,10.9,"",1.4,1.4,2.8,.099,"",-0.5,1.0,0.5,0.9
225,Ersan Ilyasova\ilyaser01,PF,30,ATL,46,1175,15.2,.569,.424,.224,7.1,17.2,12.1,6.8,1.8,1.3,8.9,18.1,"",1.7,1.0,2.7,.109,"",0.5,-0.4,0.1,0.6
226,Joe Ingles\inglejo01,SF,30,UTA,61,1884,13.5,.621,.665,.088,1.1,13.9,7.5,20.3,1.7,0.6,17.6,15.5,"",2.4,2.2,4.6,.117,"",1.6,0.6,2.3,2.0
227,Brandon Ingram\ingrabr01,SF,20,LAL,56,1890,13.8,.533,.133,.371,3.1,13.7,8.4,17.1,1.1,1.8,14.2,22.0,"",1.0,1.8,2.7,.069,"",-1.7,0.3,-1.3,0.3
228,Kyrie Irving\irvinky01,PG,25,BOS,57,1851,25.3,.611,.372,.242,1.9,10.5,6.3,30.5,1.6,0.7,10.1,31.2,"",6.3,2.6,8.9,.231,"",7.2,-0.7,6.5,4.0
229,Jonathan Isaac\isaacjo01,PF,20,ORL,15,285,9.5,.482,.243,.243,4.7,17.2,10.9,5.4,1.7,4.1,15.5,14.9,"",-0.2,0.3,0.1,.016,"",-4.7,1.5,-3.2,-0.1
230,Wesley Iwundu\iwundwe01,SF,23,ORL,43,627,8.9,.508,.195,.218,3.9,12.3,8.1,8.3,1.5,0.9,10.4,11.4,"",0.3,0.3,0.6,.044,"",-2.9,-0.1,-3.0,-0.2
231,Jarrett Jack\jackja01,PG,34,NYK,57,1476,11.3,.487,.195,.169,1.5,12.0,6.8,31.6,1.2,0.2,19.9,16.5,"",0.4,0.8,1.2,.040,"",-1.8,-1.3,-3.1,-0.4
232,Demetrius Jackson\jacksde01,PG,23,HOU,12,63,-0.6,.286,.429,.000,7.2,12.6,9.9,10.6,3.1,1.4,41.7,16.7,"",-0.3,0.1,-0.2,-0.163,"",-10.0,2.3,-7.8,-0.1
233,Josh Jackson\jacksjo02,SF,20,PHO,61,1453,11.0,.476,.255,.298,5.4,14.2,9.7,8.8,1.7,1.5,12.0,24.8,"",-1.4,0.8,-0.5,-0.018,"",-3.3,-1.5,-4.8,-1.0
234,Justin Jackson\jacksju01,SF,22,SAC,47,938,9.0,.500,.421,.094,2.5,12.2,7.1,6.8,1.2,0.8,8.6,14.5,"",0.0,0.2,0.3,.014,"",-2.4,-1.7,-4.1,-0.5
235,Reggie Jackson\jacksre01,PG,27,DET,33,894,16.3,.540,.305,.232,2.7,9.1,5.8,33.2,1.2,0.3,15.5,26.1,"",1.0,0.6,1.6,.088,"",1.3,-2.1,-0.8,0.3
236,LeBron James\jamesle01,PF,33,CLE,60,2225,27.8,.621,.253,.318,3.6,21.4,12.6,43.8,2.0,2.2,16.8,30.9,"",7.4,2.3,9.7,.209,"",7.0,2.1,9.0,6.2
237,Mike James\jamesmi02,PG,27,TOT,36,687,14.0,.469,.305,.262,2.0,12.3,7.0,29.5,2.0,0.8,12.0,25.1,"",-0.1,0.4,0.3,.020,"",-0.7,-1.8,-2.6,-0.1
238,Al Jefferson\jeffeal01,C,33,IND,29,388,19.1,.573,.006,.143,6.2,25.2,15.9,10.3,1.5,3.6,9.5,21.7,"",0.6,0.6,1.2,.144,"",-1.8,0.7,-1.2,0.1
239,Richard Jefferson\jefferi01,SF,37,DEN,16,138,5.3,.480,.292,.292,1.6,10.7,6.2,8.5,0.7,0.6,15.6,10.1,"",0.0,0.0,0.0,.009,"",-4.5,-1.6,-6.1,-0.1
240,Jonas Jerebko\jerebjo01,PF,30,UTA,53,855,12.6,.578,.422,.184,5.2,18.5,11.8,6.1,1.2,0.8,7.4,15.1,"",1.3,1.0,2.3,.128,"",-0.6,-0.3,-0.9,0.2
241,Amir Johnson\johnsam01,C,30,PHI,55,848,14.7,.571,.097,.395,12.6,18.4,15.6,12.6,2.0,3.3,16.9,13.2,"",1.3,1.4,2.7,.155,"",-0.5,3.0,2.6,1.0
